return_pct,final_value,cash,halted,trades,reset,order_pct,ETH_sweep,ETH_steps,BNB_sweep,BNB_steps,SOL_sweep,SOL_steps
66.14162241015038,49842.48672304511,30816.805962192564,False,291,24.0,0.1,0.15,8,0.1,12,0.2,4
66.14162241015038,49842.48672304511,30816.805962192564,False,291,168.0,0.1,0.15,8,0.1,12,0.2,4
66.0580336074712,49817.41008224136,32266.604132822475,False,447,48.0,0.1,0.06,4,0.06,12,0.2,4
66.0580336074712,49817.41008224136,32266.604132822475,False,447,24.0,0.1,0.06,4,0.06,12,0.2,4
66.0580336074712,49817.41008224136,32266.604132822475,False,447,,0.1,0.06,4,0.06,12,0.2,4
66.0580336074712,49817.41008224136,32266.604132822475,False,447,168.0,0.1,0.06,4,0.06,12,0.2,4
65.66629555911938,49699.88866773581,30434.02003520079,False,195,,0.1,0.1,4,0.06,4,0.2,4
65.66629555911938,49699.88866773581,30434.02003520079,False,195,48.0,0.1,0.1,4,0.06,4,0.2,4
65.66629555911938,49699.88866773581,30434.02003520079,False,195,24.0,0.1,0.1,4,0.06,4,0.2,4
65.66629555911938,49699.88866773581,30434.02003520079,False,195,168.0,0.1,0.1,4,0.06,4,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,24.0,0.1,0.2,8,0.1,4,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,168.0,0.1,0.2,8,0.1,4,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,24.0,0.1,0.2,8,0.2,8,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,48.0,0.1,0.2,8,0.1,4,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,48.0,0.1,0.2,8,0.2,8,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,,0.1,0.2,8,0.1,4,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,,0.1,0.2,8,0.2,8,0.2,4
65.64613347395091,49693.84004218527,25839.35950844771,False,172,168.0,0.1,0.2,8,0.2,8,0.2,4
65.4842626052914,49645.27878158742,13687.458654574268,False,435,168.0,0.1,0.15,4,0.06,12,0.2,4
65.4842626052914,49645.27878158742,13687.458654574268,False,435,24.0,0.1,0.15,4,0.06,12,0.2,4
65.4842626052914,49645.27878158742,13687.458654574268,False,435,,0.1,0.15,4,0.06,12,0.2,4
65.4842626052914,49645.27878158742,13687.458654574268,False,435,48.0,0.1,0.15,4,0.06,12,0.2,4
65.38502145099493,49615.50643529848,13026.793444741535,False,322,24.0,0.1,0.15,4,0.06,8,0.2,4
65.38502145099493,49615.50643529848,13026.793444741535,False,322,168.0,0.1,0.15,4,0.06,8,0.2,4
65.38502145099493,49615.50643529848,13026.793444741535,False,322,48.0,0.1,0.15,4,0.06,8,0.2,4
65.38502145099493,49615.50643529848,13026.793444741535,False,322,,0.1,0.15,4,0.06,8,0.2,4
65.3272584311371,49598.17752934113,19430.616453641916,False,147,48.0,0.15,0.15,8,0.2,12,0.2,4
65.3272584311371,49598.17752934113,19430.616453641916,False,147,168.0,0.15,0.15,8,0.2,12,0.2,4
65.3272584311371,49598.17752934113,19430.616453641916,False,147,,0.15,0.15,8,0.2,12,0.2,4
