return_pct,final_value,cash,halted,trades,reset,order_pct,counter_m,ETH_sweep,BNB_sweep,SOL_sweep
11.695847554769983,33508.754266430995,427.36803886551706,False,122,,0.1,4.0,0.06,0.06,0.3
11.695847554769983,33508.754266430995,427.36803886551706,False,122,96.0,0.1,4.0,0.06,0.06,0.3
11.689786301977438,33506.93589059323,18307.74372364406,False,203,48.0,0.05,3.0,0.06,0.08,0.3
11.689786301977438,33506.93589059323,18307.74372364406,False,203,,0.05,3.0,0.06,0.08,0.3
11.689786301977438,33506.93589059323,18307.74372364406,False,203,96.0,0.05,3.0,0.06,0.08,0.3
11.681571264253265,33504.47137927598,2496.697319405836,False,123,96.0,0.1,3.0,0.15,0.08,0.3
11.681571264253265,33504.47137927598,2496.697319405836,False,123,48.0,0.1,3.0,0.15,0.08,0.3
11.681571264253265,33504.47137927598,2496.697319405836,False,123,,0.1,3.0,0.15,0.08,0.3
11.51931629941772,33455.794889825316,3639.622404707222,False,60,48.0,0.15,4.0,0.06,0.08,0.3
11.51931629941772,33455.794889825316,3639.622404707222,False,60,,0.15,4.0,0.06,0.08,0.2
11.51931629941772,33455.794889825316,3639.622404707222,False,60,,0.15,4.0,0.06,0.08,0.3
11.51931629941772,33455.794889825316,3639.622404707222,False,60,96.0,0.15,4.0,0.06,0.08,0.3
11.51931629941772,33455.794889825316,3639.622404707222,False,60,96.0,0.15,4.0,0.06,0.08,0.2
11.51931629941772,33455.794889825316,3639.622404707222,False,60,48.0,0.15,4.0,0.06,0.08,0.2
11.50499523932735,33451.498571798205,9943.238581352392,False,302,,0.05,3.0,0.15,0.04,0.1
11.50499523932735,33451.498571798205,9943.238581352392,False,302,96.0,0.05,3.0,0.15,0.04,0.1
11.50499523932735,33451.498571798205,9943.238581352392,False,302,48.0,0.05,3.0,0.15,0.04,0.1
11.49540572783558,33448.621718350674,3037.085338500203,False,95,48.0,0.1,4.0,0.15,0.08,0.2
11.49540572783558,33448.621718350674,3037.085338500203,False,95,,0.1,4.0,0.15,0.08,0.2
11.49540572783558,33448.621718350674,3037.085338500203,False,95,96.0,0.1,4.0,0.15,0.08,0.2
11.493790350903534,33448.13710527106,13587.472027705144,False,194,48.0,0.05,4.0,0.1,0.06,0.2
11.493790350903534,33448.13710527106,13587.472027705144,False,194,,0.05,4.0,0.1,0.06,0.2
11.493790350903534,33448.13710527106,13587.472027705144,False,194,96.0,0.05,4.0,0.1,0.06,0.2
11.465831822244873,33439.74954667346,11531.9523519358,False,405,96.0,0.05,2.0,0.15,0.04,0.1
11.465831822244873,33439.74954667346,11531.9523519358,False,405,48.0,0.05,2.0,0.15,0.04,0.1
11.465831822244873,33439.74954667346,11531.9523519358,False,405,,0.05,2.0,0.15,0.04,0.1
11.430754511514484,33429.226353454345,1854.1604636835514,False,179,96.0,0.1,2.0,0.06,0.06,0.1
11.430754511514484,33429.226353454345,1854.1604636835514,False,179,48.0,0.1,2.0,0.06,0.06,0.1
11.430754511514484,33429.226353454345,1854.1604636835514,False,179,,0.1,2.0,0.06,0.06,0.1
11.41997317911048,33425.991953733144,2682.489782087841,False,149,48.0,0.1,3.0,0.15,0.06,0.1
11.41997317911048,33425.991953733144,2682.489782087841,False,149,96.0,0.1,3.0,0.15,0.06,0.1
11.41997317911048,33425.991953733144,2682.489782087841,False,149,,0.1,3.0,0.15,0.06,0.1
11.326262073604838,33397.87862208145,11239.464545279594,False,343,,0.05,2.0,0.06,0.06,0.2
11.326262073604838,33397.87862208145,11239.464545279594,False,343,48.0,0.05,2.0,0.06,0.06,0.2
11.326262073604838,33397.87862208145,11239.464545279594,False,343,96.0,0.05,2.0,0.06,0.06,0.2
11.270698853041248,33381.209655912375,11459.280228823172,False,321,96.0,0.05,2.0,0.1,0.06,0.2
11.270698853041248,33381.209655912375,11459.280228823172,False,321,48.0,0.05,2.0,0.1,0.06,0.2
11.270698853041248,33381.209655912375,11459.280228823172,False,321,,0.05,2.0,0.1,0.06,0.2
